content_sha256,source_file,scenario,segment,begin_frame,ground_truth,motion_context,training_danger_probability,training_prediction,group_validation_danger_probability,group_validation_prediction
FBB0DCF0535B841B187AD1F1D5EB267717BA0CD2C7FAC22D35661EACB1F1A8FF,太阳能板直角边源.txt,太阳能板直角边源,7,236,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
B49FB54ED62A50D6A02AB283F100022843E6FBA8BC431DCF5A4D51C38CC98AD7,太阳能板直角边源.txt,太阳能板直角边源,7,270,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
3FF86C2934DF785148FA895FFE78211C6CDA1373580064B45977E862AA1B09B0,太阳能板直角边源.txt,太阳能板直角边源,7,305,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
2C7731E9CFABCAA8AF9166F68E3BFC09C9EE19D2EEE61EEA336073FA101F6B66,太阳能板直角边源.txt,太阳能板直角边源,7,339,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
40DB47A5784884ACD6DB0F6CD06AA36B6857FC2CC05AE84892A85068D913E537,太阳能板直角边源.txt,太阳能板直角边源,7,375,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
F6A57B4BCB0E811A196C3556A4AF70E443BD6CB596BFB1B4BE21265DBEDAA9B7,太阳能板直角边源.txt,太阳能板直角边源,7,409,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
9E30A82DE19DC2B1F2B7295987747A2E97AB762A70E463074103C148AE0E7B2F,太阳能板直角边源.txt,太阳能板直角边源,7,444,SAFE,UNKNOWN,0.266666666666667,SAFE,0.8,DANGER
BE94B023715CF5A49144D2BB61FA6FCBF6AC3047802AD6945CEF3FCAA02A1C98,太阳能板直角边源.txt,太阳能板直角边源,9,683,DANGER,TURN_RIGHT,0.7,DANGER,0.00625,SAFE
5E6C004670D3A9EAEFCA3D7BC219AC85FC84D76BBD9B49AC0FA3D6969C59E7C9,太阳能板直角边源.txt,太阳能板直角边源,9,1341,SAFE,TURN_LEFT,0.00561797752808989,SAFE,0.352941176470588,DANGER
2B89D6FC6DA5FA687BF6E42599465D26D95D5A12545EA63684ED254108AB2C95,太阳能板直角边源.txt,太阳能板直角边源,9,1376,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
F5815C0CA141684D6B20328273970D23BABA97637BA6575631C04838929229CA,太阳能板直角边源.txt,太阳能板直角边源,9,1410,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
B6E3C74A1A9DAE9B9D913E7AF9E7454CFAF1CF5AAAF1F8B4516AA53068F6ADAD,太阳能板直角边源.txt,太阳能板直角边源,9,1444,SAFE,TURN_RIGHT,0.00561797752808989,SAFE,0.352941176470588,DANGER
84C47F127463D9DA353AF7148E89B9BD1FD2D9C0D7E28CB21C2C9CE0D5230ABC,太阳能板直角边源.txt,太阳能板直角边源,9,1479,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
F3CA06AF2E2CEE87A0DEFD5763775A6FAF42FB81DB87B6E77B167FBC53AFA83C,太阳能板直角边源.txt,太阳能板直角边源,9,1514,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
D7A2730938AC11122D3733C6AFA29348A0988BFCB9BFDCFB17A3131441F27F86,太阳能板直角边源.txt,太阳能板直角边源,9,1548,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
792D309BE4EFBDE34D7CC1AA94DB1D4A08AD8891DEE6605530434EBF9F9CE3A3,太阳能板直角边源.txt,太阳能板直角边源,9,1584,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
CA016C9FEF1B30615D1C59FD916361F516963377B61E9869BF7009164F7CB8A7,太阳能板直角边源.txt,太阳能板直角边源,9,1618,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
B878322FF6A024C95F51D6D388EE2A271BCF5976170D3906A0568A0512A96876,太阳能板直角边源.txt,太阳能板直角边源,9,1653,SAFE,STATIONARY,0.00561797752808989,SAFE,0.352941176470588,DANGER
