threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy
0.168,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.169,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.17,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.171,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.172,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.173,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.174,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.175,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.176,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.177,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.178,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.179,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.18,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.181,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.182,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.183,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.184,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.185,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.186,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.187,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.188,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.189,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.19,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.191,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.192,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.193,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.194,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.195,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.196,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.197,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.198,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.199,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.2,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.201,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.202,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.203,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
0.204,311,89,25,33,164,0.780701754385965,0.83248730964467,0.806594532015318
