threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy,decision_margin
0.157,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00138666414053021
0.158,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00238666414053021
0.159,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00338666414053021
0.16,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00438666414053021
0.161,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00406691478252863
0.162,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00306691478252863
0.163,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00206691478252863
0.164,311,114,0,16,181,1,0.918781725888325,0.959390862944162,0.00106691478252863
0.165,311,114,0,16,181,1,0.918781725888325,0.959390862944162,6.69147825286265e-05
0.166,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.000933085217471374
0.167,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00193308521747138
0.168,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00293308521747138
0.169,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00393308521747138
0.17,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00493308521747138
0.171,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00593308521747138
0.172,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00693308521747138
0.173,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00793308521747138
0.174,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00893308521747138
0.175,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00993308521747138
0.176,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.0096146063462437
0.177,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.0086146063462437
0.178,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.0076146063462437
0.179,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.0066146063462437
0.18,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00561460634624369
0.181,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00461460634624369
0.182,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00361460634624369
0.183,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00261460634624369
0.184,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00161460634624369
0.185,311,114,0,15,182,1,0.923857868020305,0.961928934010152,0.00061460634624369
0.186,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.000385393653756311
0.187,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00138539365375631
0.188,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00238539365375631
0.189,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00338539365375631
0.19,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00438539365375631
0.191,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00538539365375632
0.192,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00638539365375632
0.193,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00738539365375632
0.194,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00696999362459844
0.195,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00596999362459844
0.196,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00496999362459843
0.197,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00396999362459843
0.198,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00296999362459843
0.199,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.00196999362459843
0.2,311,114,0,14,183,1,0.928934010152284,0.964467005076142,0.000969993624598431
0.201,311,114,0,13,184,1,0.934010152284264,0.967005076142132,3.000637540157e-05
0.202,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00103000637540157
0.203,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00203000637540157
0.204,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00303000637540157
0.205,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00403000637540157
0.206,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00503000637540157
0.207,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00603000637540158
0.208,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00703000637540158
0.209,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00803000637540155
0.21,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00903000637540155
0.211,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.0100300063754016
0.212,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.0110300063754016
0.213,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.0116246469975287
0.214,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.0106246469975287
0.215,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00962464699752874
0.216,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00862464699752874
0.217,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00762464699752874
0.218,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00662464699752874
0.219,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00562464699752874
0.22,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00462464699752874
0.221,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00362464699752874
0.222,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00262464699752873
0.223,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.00162464699752873
0.224,311,114,0,13,184,1,0.934010152284264,0.967005076142132,0.000624646997528733
0.225,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.000375353002471268
0.226,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00137535300247127
0.227,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00237535300247127
0.228,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00337535300247127
0.229,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00437535300247127
0.23,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00537535300247127
0.231,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00637535300247127
0.232,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00737535300247127
0.233,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00826451149832641
0.234,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00726451149832641
0.235,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00626451149832641
0.236,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00526451149832641
0.237,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00426451149832641
0.238,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00326451149832641
0.239,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.0022645114983264
0.24,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.00126451149832643
0.241,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851,0.000264511498326431
0.242,311,112,2,13,184,0.982456140350877,0.934010152284264,0.958233146317571,0.00073548850167357
0.243,311,112,2,13,184,0.982456140350877,0.934010152284264,0.958233146317571,0.0014951159133941
0.244,311,112,2,13,184,0.982456140350877,0.934010152284264,0.958233146317571,0.000495115913394101
0.245,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0005048840866059
0.246,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0015048840866059
0.247,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0025048840866059
0.248,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0035048840866059
0.249,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0045048840866059
0.25,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0055048840866059
0.251,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00650488408660591
0.252,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00750488408660591
0.253,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00850488408660591
0.254,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00950488408660591
0.255,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0105048840866059
0.256,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.0101616292691993
0.257,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00916162926919928
0.258,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00816162926919928
0.259,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00716162926919928
0.26,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00616162926919928
0.261,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00516162926919927
0.262,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00416162926919927
0.263,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00316162926919927
0.264,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00216162926919927
0.265,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00116162926919927
0.266,311,112,2,12,185,0.982456140350877,0.939086294416244,0.96077121738356,0.00016162926919927
0.267,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00083837073080073
0.268,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00183837073080073
0.269,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00283837073080073
0.27,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00383837073080073
0.271,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00483837073080073
0.272,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00583837073080073
0.273,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00683837073080074
0.274,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00783837073080074
0.275,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.008584863457201
0.276,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.007584863457201
0.277,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.006584863457201
0.278,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00558486345720099
0.279,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00458486345720099
0.28,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00358486345720099
0.281,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00258486345720099
0.282,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00158486345720099
0.283,311,112,2,11,186,0.982456140350877,0.944162436548223,0.96330928844955,0.00058486345720099
0.284,311,112,2,9,188,0.982456140350877,0.954314720812183,0.96838543058153,0.000380847703591092
0.285,311,112,2,7,190,0.982456140350877,0.964467005076142,0.97346157271351,0.000158858901172676
0.286,311,112,2,7,190,0.982456140350877,0.964467005076142,0.97346157271351,0.00115885890117268
0.287,311,112,2,7,190,0.982456140350877,0.964467005076142,0.97346157271351,0.00156613108116632
0.288,311,112,2,7,190,0.982456140350877,0.964467005076142,0.97346157271351,0.000566131081166321
0.289,311,112,2,6,191,0.982456140350877,0.969543147208122,0.9759996437795,0.000433868918833624
0.29,311,112,2,5,192,0.982456140350877,0.974619289340102,0.978537714845489,0.000362038751087812
0.291,311,112,2,4,193,0.982456140350877,0.979695431472081,0.981075785911479,0.000637961248912189
0.292,311,112,2,4,193,0.982456140350877,0.979695431472081,0.981075785911479,3.08380035734523e-05
0.293,311,111,3,4,193,0.973684210526316,0.979695431472081,0.976689820999199,0.000969161996426549
0.294,311,111,3,4,193,0.973684210526316,0.979695431472081,0.976689820999199,0.00162683864574081
0.295,311,111,3,4,193,0.973684210526316,0.979695431472081,0.976689820999199,0.000626838645740813
0.296,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.000373161354259188
0.297,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00137316135425919
0.298,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00237316135425919
0.299,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00334772882454448
0.3,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00234772882454448
0.301,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00134772882454448
0.302,311,111,3,3,194,0.973684210526316,0.984771573604061,0.979227892065188,0.00034772882454448
0.303,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.000652271175455521
0.304,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00165227117545552
0.305,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00265227117545552
0.306,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00365227117545552
0.307,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00397272973311719
0.308,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00297272973311719
0.309,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.00197272973311718
0.31,311,111,3,2,195,0.973684210526316,0.989847715736041,0.981765963131178,0.000972729733117184
0.311,311,111,3,1,196,0.973684210526316,0.99492385786802,0.984304034197168,2.72702668828173e-05
0.312,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.000602632083393062
0.313,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00160263208339306
0.314,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00260263208339306
0.315,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00360263208339306
0.316,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00460263208339307
0.317,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00560263208339307
0.318,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00660263208339307
0.319,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00760263208339307
0.32,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00860263208339307
0.321,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.00960263208339307
0.322,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.0106026320833931
0.323,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.0116026320833931
0.324,311,111,3,0,197,0.973684210526316,1,0.986842105263158,0.0126026320833931
