feature_count,held_out_group,test_count,lambda_ratio,safe_permission_threshold,true_danger,missed_danger,false_danger,true_safe
64,太阳能板直角边源.txt|2,12,0.1,0.243,0,0,1,11
64,太阳能板直角边源.txt|3,4,0.1,0.248,0,0,0,4
64,太阳能板直角边源.txt|4,3,0.1,0.247,3,0,0,0
64,太阳能板直角边源.txt|5,27,0.1,0.24,18,0,0,9
64,太阳能板直角边源.txt|6,35,0.1,0.253,9,0,1,25
64,太阳能板直角边源.txt|7,25,0.1,0.229,0,0,9,16
64,太阳能板直角边源.txt|9,47,0.3,0.093,20,0,17,10
64,太阳能板直角边源.txt|10,23,0.1,0.218,23,0,0,0
86,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.208,13,0,0,14
86,左转极限.txt|1,30,0.3,0.101,20,0,1,9
86,safe.txt|1,45,0.03,0.191,0,0,0,45
86,两太阳能板过度.txt|1,25,0.1,0.283,0,0,0,25
86,太阳能板直角边源.txt|1,8,0.1,0.242,8,0,0,0
86,太阳能板直角边源.txt|2,12,0.03,0.228,0,0,1,11
86,太阳能板直角边源.txt|3,4,0.03,0.213,0,0,0,4
86,太阳能板直角边源.txt|4,3,0.03,0.213,3,0,0,0
86,太阳能板直角边源.txt|5,27,0.03,0.222,18,0,0,9
86,太阳能板直角边源.txt|6,35,0.03,0.227,9,0,1,25
86,太阳能板直角边源.txt|7,25,0.1,0.232,0,0,9,16
86,太阳能板直角边源.txt|9,47,0.3,0.088,20,0,17,10
86,太阳能板直角边源.txt|10,23,0.03,0.168,23,0,0,0
