"source_file","scenario","segment","snapshot_id","begin_source_line","end_source_line","begin_frame","end_frame","threshold","roi_width","roi_height","roi_y_first","roi_y_last","row_count","expected_row_count","dark_left_count","dark_center_count","dark_right_count","d128_left_percent_exact","d128_center_percent_exact","d128_right_percent_exact","d128_left_percent_firmware","d128_center_percent_firmware","d128_right_percent_firmware","complete","status","content_sha256"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b28","732","758","2587","2587","128","200","24","88","111","24","24","1496","1428","1456","93.03482587064677","88.80597014925372","91.91919191919192","93","88","91","True","complete","110323AE35A6596EE7C630F417D45AF071F312DAED4B645795F544D13B34BDD1"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","太阳能板边缘中心旋转扫描:s1:b29","759",,"2622",,"128","200","24","88","111","10","24","645","635","626","96.26865671641791","94.77611940298507","94.84848484848484","96","94","94","False","interrupted_by_connection_loss","7358E340847888B14873B0708CBBB891060A321397CD3DD8C954EDDC2051F2BE"
"左转极限.txt","左转极限","1","左转极限:s1:orphan1",,"10",,"242",,"200","24","88","111","8","24","505","480","405","94.21641791044776","89.55223880597015","76.70454545454545","94","89","76","False","incomplete_row_count","F459B19A16476BEA594B9B93560125ACE9625CAD94838089136936EE5F065D27"
"左转极限.txt","左转极限","1","左转极限:s1:b2","11","37","276","276","128","200","24","88","111","24","24","1517","1469","1307","94.3407960199005","91.35572139303483","82.51262626262626","94","91","82","True","complete","045899872D1051AD00AEA82E2C55027DFD0619BDD73D1C416F995631742FA364"
"左转极限.txt","左转极限","1","左转极限:s1:b3","38","64","311","311","128","200","24","88","111","24","24","1519","1469","1308","94.46517412935323","91.35572139303483","82.57575757575758","94","91","82","True","complete","75650D27EF457A3AEA56BB819449BFEDC5B30CFBE092F355B93960CD85F4EDC9"
"左转极限.txt","左转极限","1","左转极限:s1:b4","65","91","346","346","128","200","24","88","111","24","24","1535","1474","1305","95.46019900497512","91.66666666666667","82.38636363636364","95","91","82","True","complete","4D9F030A7353B72E1C33C0BC8750DF4F171867591BAD6F773EFB3B7344ABC0FC"
"左转极限.txt","左转极限","1","左转极限:s1:b5","92","119","381","381","128","200","24","88","111","24","24","1509","1477","1478","93.84328358208955","91.85323383084577","93.3080808080808","93","91","93","True","complete","1C4F987ED31939FD577D3B3228D1EFAAAA1316089B47F9F03A8AD6EE01517E66"
"左转极限.txt","左转极限","1","左转极限:s1:b6","120","146","415","415","128","200","24","88","111","24","24","1435","1503","1393","89.2412935323383","93.47014925373135","87.9419191919192","89","93","87","True","complete","F17527B10B05DF6F7C2613CFCEDB6F7FEF07928FF96EE4E95623A3447CA66D7F"
"左转极限.txt","左转极限","1","左转极限:s1:b7","147","173","450","450","128","200","24","88","111","24","24","1412","1521","1028","87.81094527363184","94.58955223880596","64.8989898989899","87","94","64","True","complete","506BA5D824C7953A54E844B1F667BAC4A8E1D3EBB92B994E8883969DEB2D2C3C"
"左转极限.txt","左转极限","1","左转极限:s1:b8","174","200","484","484","128","200","24","88","111","24","24","1383","1486","455","86.00746268656717","92.41293532338308","28.724747474747474","86","92","28","True","complete","D4036D94CEFF6BC951BA680BE76814C4EA3B451E39A471A8EC4C6E46F6597B45"
